scope,dlm_group,task,n_subtests,gap_pp,ci_lo_pp,ci_hi_pp,significance,case_ci_lo_pp,case_ci_hi_pp,case_significance
overall,LLaDA family,sentiment,38,1.58,-2.19,5.74,ns,1.41,1.74,DLM*
overall,LLaDA family,qqp,53,18.21,5.01,32.40,DLM*,18.03,18.39,DLM*
overall,LLaDA family,squad,24,11.03,3.07,19.40,DLM*,10.61,11.43,DLM*
overall,Masked-DLM incl. Dream,sentiment,38,1.92,-2.61,6.05,ns,1.78,2.06,DLM*
overall,Masked-DLM incl. Dream,qqp,53,19.19,5.96,33.70,DLM*,19.04,19.33,DLM*
overall,Masked-DLM incl. Dream,squad,24,12.44,5.04,20.31,DLM*,12.07,12.79,DLM*
INV,LLaDA family,sentiment,13,-5.75,-10.98,-1.64,AR*,-6.29,-5.23,AR*
INV,LLaDA family,qqp,9,-0.79,-1.82,0.29,ns,-1.59,-0.01,AR*
INV,LLaDA family,squad,5,-6.79,-9.43,-4.15,AR*,-8.02,-5.55,AR*
INV,Masked-DLM incl. Dream,sentiment,13,-5.95,-12.52,-1.14,AR*,-6.39,-5.52,AR*
INV,Masked-DLM incl. Dream,qqp,9,0.24,-0.74,1.33,ns,-0.44,0.91,ns
INV,Masked-DLM incl. Dream,squad,5,-3.95,-5.82,-2.09,AR*,-4.99,-2.93,AR*
