task,group,n_models,macro_pass_rate,min_pass_rate,max_pass_rate,models
sentiment,AR family,5,0.8449363573246934,0.7930455912983105,0.9079032631335339,"Llama-3.1, Mistral-7B, Qwen2.5-7B, Gemma-2-9B, OLMo-2-7B"
sentiment,LLaDA family,2,0.8607382550335569,0.8136773894931728,0.9077991205739412,"LLaDA-8B, LLaDA-MoE"
sentiment,Masked-DLM incl. Dream,3,0.8641556738409318,0.8136773894931728,0.9077991205739412,"LLaDA-8B, LLaDA-MoE, Dream-7B"
qqp,AR family,5,0.6219912680334092,0.5785402429764617,0.6627752467729688,"Llama-3.1, Mistral-7B, Qwen2.5-7B, Gemma-2-9B, OLMo-2-7B"
qqp,LLaDA family,2,0.8040527714502658,0.7749936724879778,0.8331118704125537,"LLaDA-8B, LLaDA-MoE"
qqp,Masked-DLM incl. Dream,3,0.8138656880114739,0.7749936724879778,0.8334915211338901,"LLaDA-8B, LLaDA-MoE, Dream-7B"
squad,AR family,5,0.6725114566899557,0.5246788370520622,0.7382615881601683,"Llama-3.1, Mistral-7B, Qwen2.5-7B, Gemma-2-9B, OLMo-2-7B"
squad,LLaDA family,2,0.7827736458568102,0.7407407407407407,0.8248065509728796,"LLaDA-8B, LLaDA-MoE"
squad,Masked-DLM incl. Dream,3,0.7968847820098666,0.7407407407407407,0.8251070543159793,"LLaDA-8B, LLaDA-MoE, Dream-7B"
mnli,AR family,5,0.8135555555555556,0.7155555555555555,0.8822222222222222,"Llama-3.1, Mistral-7B, Qwen2.5-7B, Gemma-2-9B, OLMo-2-7B"
mnli,LLaDA family,2,0.8088888888888889,0.7966666666666666,0.8211111111111111,"LLaDA-8B, LLaDA-MoE"
mnli,Masked-DLM incl. Dream,3,0.8262962962962963,0.7966666666666666,0.8611111111111112,"LLaDA-8B, LLaDA-MoE, Dream-7B"
paws,AR family,5,0.695,0.66875,0.74,"Llama-3.1, Mistral-7B, Qwen2.5-7B, Gemma-2-9B, OLMo-2-7B"
paws,LLaDA family,2,0.78375,0.78,0.7875,"LLaDA-8B, LLaDA-MoE"
paws,Masked-DLM incl. Dream,3,0.8020833333333334,0.78,0.83875,"LLaDA-8B, LLaDA-MoE, Dream-7B"
anli,AR family,5,0.6326666666666666,0.61,0.6644444444444444,"Llama-3.1, Mistral-7B, Qwen2.5-7B, Gemma-2-9B, OLMo-2-7B"
anli,LLaDA family,2,0.615,0.6022222222222222,0.6277777777777778,"LLaDA-8B, LLaDA-MoE"
anli,Masked-DLM incl. Dream,3,0.6181481481481481,0.6022222222222222,0.6277777777777778,"LLaDA-8B, LLaDA-MoE, Dream-7B"
wildguard,AR family,5,0.6036666666666667,0.5233333333333333,0.7016666666666667,"Llama-3.1, Mistral-7B, Qwen2.5-7B, Gemma-2-9B, OLMo-2-7B"
wildguard,LLaDA family,2,0.7075,0.6699999999999999,0.745,"LLaDA-8B, LLaDA-MoE"
wildguard,Masked-DLM incl. Dream,3,0.69,0.655,0.745,"LLaDA-8B, LLaDA-MoE, Dream-7B"
xstest,AR family,5,0.6616,0.5700000000000001,0.694,"Llama-3.1, Mistral-7B, Qwen2.5-7B, Gemma-2-9B, OLMo-2-7B"
xstest,LLaDA family,2,0.688,0.688,0.688,"LLaDA-8B, LLaDA-MoE"
xstest,Masked-DLM incl. Dream,3,0.7453333333333333,0.688,0.86,"LLaDA-8B, LLaDA-MoE, Dream-7B"
