dlm,ar,task,n_subtests,alpha,alpha_lo,alpha_hi,gamma,gamma_lo,gamma_hi,gap,gap_lo,gap_hi,ratio,ratio_lo,ratio_hi,win_rate,win_lo,win_hi,significance
llada_instruct,llama_instruct,qqp,50,1.8068,0.8056,2.6872,2.0174,0.6508,4.5909,0.2106,-1.6455,3.4972,1.1165,0.3404,4.6701,0.4400,0.3000,0.5800,ns
llada_instruct,llama_instruct,sentiment,18,1.6141,0.5439,3.4009,1.6910,0.4647,3.7145,0.0769,-0.3452,0.7847,1.0476,0.6940,1.5707,0.3889,0.1667,0.6111,ns
llada_instruct,llama_instruct,squad,20,5.2460,4.2939,6.7802,5.4123,4.4753,6.9369,0.1663,-0.4673,0.7300,1.0317,0.9193,1.1385,0.3000,0.1000,0.5000,ns
llada_instruct,mistral,qqp,50,1.8068,0.8254,2.6999,2.4112,0.7350,5.1931,0.6044,-1.3329,4.0489,1.3345,0.4277,5.1274,0.6800,0.5400,0.8000,ns
llada_instruct,mistral,sentiment,18,1.6141,0.5533,3.3834,1.8105,0.5050,3.8523,0.1964,-0.2484,1.0458,1.1217,0.7757,1.6947,0.4444,0.2222,0.6667,ns
llada_instruct,mistral,squad,20,5.2460,4.3046,6.7030,5.6255,4.4109,7.6064,0.3795,-0.1226,1.0902,1.0723,0.9762,1.1765,0.4000,0.2000,0.6000,ns
llada_instruct,qwen,qqp,50,1.8068,0.8242,2.7096,0.8081,0.0666,2.3235,-0.9987,-2.5138,1.2608,0.4473,0.0351,2.3517,0.1000,0.0200,0.1800,ns
llada_instruct,qwen,sentiment,18,1.6141,0.5358,3.4148,1.6303,0.6087,3.3276,0.0162,-0.5262,0.5622,1.0100,0.7565,1.5300,0.5556,0.3333,0.7778,ns
llada_instruct,qwen,squad,20,5.2460,4.2746,6.7112,5.0321,4.0914,6.4054,-0.2139,-0.4093,-0.0744,0.9592,0.9299,0.9856,0.2500,0.1000,0.4500,AR-contract*
llada_instruct,gemma,qqp,50,1.8068,0.8080,2.7178,0.7113,0.3732,0.9424,-1.0954,-1.9047,-0.3373,0.3937,0.2633,0.6251,0.3400,0.2200,0.4800,AR-contract*
llada_instruct,gemma,sentiment,18,1.6141,0.5458,3.4450,2.0449,0.6815,4.2056,0.4308,-0.3337,1.5378,1.2669,0.8278,2.1966,0.4444,0.2222,0.6667,ns
llada_instruct,gemma,squad,20,5.2460,4.2873,6.7238,5.3921,4.3121,7.1589,0.1461,-0.0823,0.5335,1.0278,0.9840,1.0846,0.4500,0.2500,0.6500,ns
llada_instruct,olmo,qqp,50,1.8068,0.8255,2.6781,2.0705,0.3405,5.4837,0.2637,-2.0466,4.3216,1.1459,0.1868,5.5060,0.1800,0.0800,0.3000,ns
llada_instruct,olmo,sentiment,18,1.6141,0.5329,3.3773,1.6291,0.4317,3.5621,0.0150,-0.2028,0.3262,1.0093,0.7701,1.1554,0.3889,0.1667,0.6111,ns
llada_instruct,olmo,squad,20,5.2460,4.2824,6.7111,4.9037,4.0244,6.0660,-0.3423,-0.9475,-0.0245,0.9348,0.8437,0.9954,0.3000,0.1000,0.5000,AR-contract*
llada_moe,llama_instruct,qqp,50,1.9225,0.8803,2.8110,2.0174,0.6571,4.5831,0.0949,-1.7838,3.4179,1.0494,0.3183,4.4632,0.4000,0.2600,0.5400,ns
llada_moe,llama_instruct,sentiment,18,1.8072,0.9915,3.1009,1.6910,0.4958,3.6918,-0.1162,-0.8310,0.9772,0.9357,0.4063,1.4888,0.3889,0.1667,0.6111,ns
llada_moe,llama_instruct,squad,20,5.2568,4.2914,6.7333,5.4123,4.4627,6.9439,0.1556,-0.3713,0.6651,1.0296,0.9349,1.1296,0.3000,0.1000,0.5000,ns
llada_moe,mistral,qqp,50,1.9225,0.8768,2.8214,2.4112,0.7442,5.1805,0.4887,-1.5072,3.9786,1.2542,0.3878,4.8604,0.4800,0.3400,0.6200,ns
llada_moe,mistral,sentiment,18,1.8072,0.9722,3.1282,1.8105,0.4999,4.0015,0.0033,-0.8008,1.2899,1.0018,0.4306,1.6679,0.3333,0.1111,0.5556,ns
llada_moe,mistral,squad,20,5.2568,4.2844,6.7417,5.6255,4.3822,7.6221,0.3687,-0.1221,1.1261,1.0701,0.9762,1.1848,0.6000,0.4000,0.8000,ns
llada_moe,qwen,qqp,50,1.9225,0.8727,2.8105,0.8081,0.0658,2.3136,-1.1144,-2.6352,1.1852,0.4203,0.0330,2.1811,0.1200,0.0400,0.2200,ns
llada_moe,qwen,sentiment,18,1.8072,0.9855,3.1134,1.6303,0.6370,3.2819,-0.1769,-0.7691,0.7111,0.9021,0.5195,1.4075,0.3333,0.1111,0.5556,ns
llada_moe,qwen,squad,20,5.2568,4.2888,6.7044,5.0321,4.1075,6.3914,-0.2247,-0.4203,-0.1205,0.9573,0.9279,0.9764,0.0500,0.0000,0.1500,AR-contract*
llada_moe,gemma,qqp,50,1.9225,0.8952,2.8202,0.7113,0.3853,0.9387,-1.2111,-1.9890,-0.4342,0.3700,0.2603,0.5360,0.1800,0.0800,0.3000,AR-contract*
llada_moe,gemma,sentiment,18,1.8072,0.9722,3.1350,2.0449,0.6755,4.2065,0.2377,-0.5791,1.7537,1.1315,0.5903,1.9488,0.1111,0.0000,0.2778,ns
llada_moe,gemma,squad,20,5.2568,4.2902,6.7126,5.3921,4.3124,7.1036,0.1353,-0.2043,0.6084,1.0257,0.9628,1.1013,0.5500,0.3500,0.7500,ns
llada_moe,olmo,qqp,50,1.9225,0.8708,2.8107,2.0705,0.3462,5.5428,0.1480,-2.1797,4.3915,1.0770,0.1743,5.2352,0.1200,0.0400,0.2200,ns
llada_moe,olmo,sentiment,18,1.8072,0.9834,3.1428,1.6291,0.4612,3.6126,-0.1782,-0.7573,0.6382,0.9014,0.4079,1.2479,0.2778,0.1097,0.5000,ns
llada_moe,olmo,squad,20,5.2568,4.2876,6.7444,4.9037,4.0219,6.0970,-0.3531,-0.8847,-0.1045,0.9328,0.8550,0.9787,0.1500,0.0000,0.3500,AR-contract*
dream,llama_instruct,qqp,50,1.5399,0.5353,2.3068,2.0174,0.6557,4.5290,0.4775,-1.3840,3.6712,1.3101,0.3565,6.5555,0.5400,0.4000,0.6800,ns
dream,llama_instruct,sentiment,18,1.9480,0.6421,4.0762,1.6910,0.4873,3.6879,-0.2570,-1.1260,0.7833,0.8681,0.4803,1.6126,0.3333,0.1111,0.5556,ns
dream,llama_instruct,squad,20,5.2262,4.2296,6.7480,5.4123,4.4737,6.9168,0.1861,-0.3350,0.6837,1.0356,0.9415,1.1346,0.4500,0.2500,0.6500,ns
dream,mistral,qqp,50,1.5399,0.5300,2.3211,2.4112,0.7397,5.1864,0.8713,-1.0903,4.3364,1.5658,0.4587,7.6023,0.6800,0.5400,0.8000,ns
dream,mistral,sentiment,18,1.9480,0.6523,4.1009,1.8105,0.4990,3.9229,-0.1374,-1.0472,1.0556,0.9295,0.5208,1.8334,0.5556,0.3333,0.7778,ns
dream,mistral,squad,20,5.2262,4.2459,6.7436,5.6255,4.4073,7.6553,0.3992,-0.0311,1.1234,1.0764,0.9941,1.1832,0.6500,0.4500,0.8500,ns
dream,qwen,qqp,50,1.5399,0.5190,2.3340,0.8081,0.0677,2.2853,-0.7318,-2.1524,1.5008,0.5248,0.0392,3.4456,0.1200,0.0400,0.2200,ns
dream,qwen,sentiment,18,1.9480,0.6537,4.1210,1.6303,0.6248,3.3044,-0.3177,-1.4193,0.6495,0.8369,0.5143,1.5904,0.5000,0.2778,0.7222,ns
dream,qwen,squad,20,5.2262,4.2245,6.7577,5.0321,4.0953,6.4396,-0.1941,-0.3923,-0.0780,0.9629,0.9359,0.9836,0.3000,0.1000,0.5000,AR-contract*
dream,gemma,qqp,50,1.5399,0.5055,2.3057,0.7113,0.3750,0.9385,-0.8286,-1.4454,-0.0943,0.4619,0.3549,0.8313,0.3400,0.2200,0.4800,AR-contract*
dream,gemma,sentiment,18,1.9480,0.6403,4.0937,2.0449,0.7048,4.2317,0.0969,-1.1025,1.6056,1.0498,0.5933,2.2226,0.3889,0.1667,0.6111,ns
dream,gemma,squad,20,5.2262,4.2350,6.7432,5.3921,4.3261,7.1532,0.1658,-0.1504,0.6172,1.0317,0.9724,1.1036,0.5500,0.3500,0.7500,ns
dream,olmo,qqp,50,1.5399,0.5291,2.3277,2.0705,0.3514,5.5170,0.5306,-1.7729,4.5986,1.3445,0.1940,7.8151,0.2200,0.1200,0.3400,ns
dream,olmo,sentiment,18,1.9480,0.6595,4.0978,1.6291,0.4636,3.6023,-0.3189,-0.7915,0.1431,0.8363,0.5534,1.1114,0.3333,0.1111,0.5556,ns
