model_key,display_name,model_type,task,point,ci_lo,ci_hi,n_subtests
llada_instruct,LLaDA-8B,DLM,qqp,1.8068,0.8250,2.6773,50
llada_instruct,LLaDA-8B,DLM,sentiment,1.6141,0.5474,3.4067,18
llada_instruct,LLaDA-8B,DLM,squad,5.2460,4.2811,6.7613,20
llada_moe,LLaDA-MoE,DLM,qqp,1.9225,0.9007,2.8121,50
llada_moe,LLaDA-MoE,DLM,sentiment,1.8072,0.9964,3.1872,18
llada_moe,LLaDA-MoE,DLM,squad,5.2568,4.2973,6.7460,20
dream,Dream-7B,DLM,qqp,1.5399,0.5168,2.3210,50
dream,Dream-7B,DLM,sentiment,1.9480,0.6428,4.0539,18
dream,Dream-7B,DLM,squad,5.2262,4.2217,6.7138,20
llama_instruct,Llama-3.1-8B,AR,qqp,2.0174,0.6502,4.5191,50
llama_instruct,Llama-3.1-8B,AR,sentiment,1.6910,0.4805,3.7116,18
llama_instruct,Llama-3.1-8B,AR,squad,5.4123,4.4536,6.9243,20
mistral,Mistral-7B,AR,qqp,2.4112,0.7398,5.1962,50
mistral,Mistral-7B,AR,sentiment,1.8105,0.5180,3.8846,18
mistral,Mistral-7B,AR,squad,5.6255,4.4003,7.6468,20
qwen,Qwen2.5-7B,AR,qqp,0.8081,0.0669,2.3856,50
qwen,Qwen2.5-7B,AR,sentiment,1.6303,0.6208,3.3445,18
qwen,Qwen2.5-7B,AR,squad,5.0321,4.1017,6.4268,20
gemma,Gemma-2-9B,AR,qqp,0.7113,0.3756,0.9412,50
gemma,Gemma-2-9B,AR,sentiment,2.0449,0.6765,4.2294,18
gemma,Gemma-2-9B,AR,squad,5.3921,4.3076,7.1550,20
olmo,OLMo-2-7B,AR,qqp,2.0705,0.3395,5.5512,50
olmo,OLMo-2-7B,AR,sentiment,1.6291,0.4579,3.6602,18
olmo,OLMo-2-7B,AR,squad,4.9037,4.0209,6.0820,20
