test_name,test_type,capability,LLaDA-8B_mean,LLaDA-8B_median,LLaDA-8B_npairs,LLaDA-8B_dperp,LLaDA-MoE_mean,LLaDA-MoE_median,LLaDA-MoE_npairs,LLaDA-MoE_dperp,Dream-7B_mean,Dream-7B_median,Dream-7B_npairs,Dream-7B_dperp,Llama-3.1-8B_mean,Llama-3.1-8B_median,Llama-3.1-8B_npairs,Llama-3.1-8B_dperp,Mistral-7B_mean,Mistral-7B_median,Mistral-7B_npairs,Mistral-7B_dperp,Qwen2.5-7B_mean,Qwen2.5-7B_median,Qwen2.5-7B_npairs,Qwen2.5-7B_dperp,Gemma-2-9B_mean,Gemma-2-9B_median,Gemma-2-9B_npairs,Gemma-2-9B_dperp,OLMo-2-7B_mean,OLMo-2-7B_median,OLMo-2-7B_npairs,OLMo-2-7B_dperp
"""used to"" should reduce",DIR,Temporal,3.4125,0.0000,4368,0.3178,1.6065,0.0000,4368,0.1559,1.7901,0.0000,4368,0.1774,6.7221,4.0334,4368,0.6147,8.4858,0.0000,4368,0.7825,5.9878,0.0000,4368,0.5472,10.7522,9.8631,4368,0.9890,3.5997,0.0000,4368,0.3526
2 typos,INV,Robustness,0.8485,0.0000,460,0.0775,1.0799,0.0000,460,0.1036,0.8064,0.0000,460,0.0761,0.9418,0.0000,460,0.0957,0.8405,0.0000,460,0.0870,1.0635,0.0000,460,0.1130,0.6374,0.0000,460,0.0739,0.7950,0.0000,460,0.0957
add negative phrases,DIR,Vocabulary,10.6730,0.0000,3866,0.6032,8.1534,0.0000,3866,0.4948,11.3830,0.0000,3866,0.6544,10.1058,0.0000,3866,0.5711,10.3538,0.0000,3866,0.5735,9.4972,0.0000,3866,0.5561,10.8819,0.0000,3866,0.6148,10.3884,0.0000,3866,0.5763
add positive phrases,DIR,Vocabulary,8.1874,0.0000,3709,0.3917,6.8510,0.0000,3709,0.3267,11.8381,0.0000,3709,0.5279,7.5482,0.0000,3709,0.3705,7.8611,0.0000,3709,0.3829,4.9086,0.0000,3709,0.2510,5.5284,0.0000,3709,0.2796,10.0490,0.0000,3709,0.4818
add random urls and handles,INV,Robustness,1.0360,0.0000,6516,0.0424,1.2614,0.0000,6516,0.0551,1.1147,0.0000,6516,0.0490,0.7206,0.0000,6516,0.0358,1.1262,0.0000,6516,0.0496,1.3574,0.0000,6516,0.0612,0.6414,0.0000,6516,0.0339,1.3167,0.0000,6516,0.0595
change locations,INV,NER,0.1782,0.0000,9066,0.0224,0.4927,0.0000,9066,0.0577,0.2693,0.0000,9066,0.0326,0.2125,0.0000,9066,0.0268,0.2654,0.0000,9066,0.0291,0.2044,0.0000,9066,0.0255,0.1124,0.0000,9066,0.0154,0.2182,0.0000,9066,0.0270
change names,INV,NER,0.4309,0.0000,3042,0.0353,0.7348,0.0000,3042,0.0552,0.2984,0.0000,3042,0.0273,0.1901,0.0000,3042,0.0191,0.5012,0.0000,3042,0.0522,0.3207,0.0000,3042,0.0260,0.4662,0.0000,3042,0.0339,0.3744,0.0000,3042,0.0332
change neutral words with BERT,INV,Vocabulary,1.2077,0.0000,1498,0.0618,1.4064,0.0000,1498,0.0635,1.0942,0.0000,1498,0.0601,1.8730,0.0000,1498,0.0754,1.4072,0.0000,1498,0.0648,2.1583,0.0000,1498,0.0888,1.1239,0.0000,1498,0.0474,1.1608,0.0000,1498,0.0527
change numbers,INV,NER,0.2757,0.0000,3463,0.0145,0.7979,0.0000,3463,0.0342,0.3933,0.0000,3463,0.0196,0.2594,0.0000,3463,0.0150,0.3976,0.0000,3463,0.0182,0.5996,0.0000,3463,0.0254,0.1873,0.0000,3463,0.0087,0.1924,0.0000,3463,0.0101
contractions,INV,Robustness,0.0000,0.0000,9,0.0000,3.2984,0.0000,9,0.0884,0.0000,0.0000,9,0.0000,0.0000,0.0000,9,0.0000,0.0000,0.0000,9,0.0000,0.0000,0.0000,9,0.0000,0.0000,0.0000,9,0.0000,0.0000,0.0000,9,0.0000
intensifiers,DIR,Vocabulary,0.1823,0.0000,1728,0.0052,0.3206,0.0000,1728,0.0156,0.1382,0.0000,1728,0.0069,0.8312,0.0000,1728,0.0382,1.0304,0.0000,1728,0.0521,0.6158,0.0000,1728,0.0272,0.1748,0.0000,1728,0.0087,0.4095,0.0000,1728,0.0168
protected: nationality,INV,Fairness,0.0566,0.0000,11400,0.0096,0.4026,0.0000,11400,0.0701,0.1093,0.0000,11400,0.0174,0.0243,0.0000,11400,0.0049,0.0000,0.0000,11400,0.0000,0.0638,0.0000,11400,0.0140,0.1832,0.0000,11400,0.0308,0.0238,0.0000,11400,0.0039
protected: race,INV,Fairness,0.8340,0.0000,1800,0.1083,1.3880,0.0000,1800,0.1900,1.0715,0.0000,1800,0.1550,0.3696,0.0000,1800,0.0489,0.3012,0.0000,1800,0.0428,0.5763,0.0000,1800,0.0728,0.8649,0.0000,1800,0.1211,0.2821,0.0000,1800,0.0356
protected: religion,INV,Fairness,0.6590,0.0000,12600,0.1020,1.2839,0.0000,12600,0.1902,0.5902,0.0000,12600,0.0921,0.0724,0.0000,12600,0.0110,0.1588,0.0000,12600,0.0257,0.4045,0.0000,12600,0.0486,0.8677,0.0000,12600,0.1174,0.1869,0.0000,12600,0.0300
