dlm,ar,alpha,gamma,gap_g_minus_a,ratio_g_over_a,delta_perp_dlm,delta_perp_ar,delta_perp_gap,n_subtests,dlm_wins,ties,win_rate
llada_instruct,llama_instruct,1.8068,2.0174,+0.2106,1.1165,0.2696,0.1707,+0.0989,50,22,5,0.4400
llada_instruct,mistral,1.8068,2.4112,+0.6044,1.3345,0.2696,0.2055,+0.0641,50,34,1,0.6800
llada_instruct,qwen,1.8068,0.8081,-0.9987,0.4473,0.2696,0.0472,+0.2224,50,5,13,0.1000
llada_instruct,gemma,1.8068,0.7113,-1.0954,0.3937,0.2696,0.1234,+0.1462,50,17,10,0.3400
llada_instruct,olmo,1.8068,2.0705,+0.2637,1.1459,0.2696,0.1321,+0.1375,50,9,11,0.1800
llada_moe,llama_instruct,1.9225,2.0174,+0.0949,1.0494,0.2953,0.1707,+0.1246,50,20,3,0.4000
llada_moe,mistral,1.9225,2.4112,+0.4887,1.2542,0.2953,0.2055,+0.0898,50,24,1,0.4800
llada_moe,qwen,1.9225,0.8081,-1.1144,0.4203,0.2953,0.0472,+0.2481,50,6,7,0.1200
llada_moe,gemma,1.9225,0.7113,-1.2111,0.3700,0.2953,0.1234,+0.1719,50,9,7,0.1800
llada_moe,olmo,1.9225,2.0705,+0.1480,1.0770,0.2953,0.1321,+0.1632,50,6,5,0.1200
dream,llama_instruct,1.5399,2.0174,+0.4775,1.3101,0.2626,0.1707,+0.0919,50,27,4,0.5400
dream,mistral,1.5399,2.4112,+0.8713,1.5658,0.2626,0.2055,+0.0571,50,34,1,0.6800
dream,qwen,1.5399,0.8081,-0.7318,0.5248,0.2626,0.0472,+0.2154,50,6,11,0.1200
dream,gemma,1.5399,0.7113,-0.8286,0.4619,0.2626,0.1234,+0.1392,50,17,12,0.3400
dream,olmo,1.5399,2.0705,+0.5306,1.3445,0.2626,0.1321,+0.1305,50,11,10,0.2200
