dlm,ar,alpha,gamma,gap_g_minus_a,ratio_g_over_a,delta_perp_dlm,delta_perp_ar,delta_perp_gap,n_subtests,dlm_wins,ties,win_rate
llada_instruct,llama_instruct,1.6141,1.6910,+0.0769,1.0476,0.1133,0.1097,+0.0036,18,7,1,0.3889
llada_instruct,mistral,1.6141,1.8105,+0.1964,1.1217,0.1133,0.1227,-0.0094,18,8,1,0.4444
llada_instruct,qwen,1.6141,1.6303,+0.0162,1.0100,0.1133,0.1129,+0.0004,18,10,1,0.5556
llada_instruct,gemma,1.6141,2.0449,+0.4308,1.2669,0.1133,0.1624,-0.0491,18,8,1,0.4444
llada_instruct,olmo,1.6141,1.6291,+0.0150,1.0093,0.1133,0.1042,+0.0091,18,7,1,0.3889
llada_moe,llama_instruct,1.8072,1.6910,-0.1162,0.9357,0.1498,0.1097,+0.0401,18,7,0,0.3889
llada_moe,mistral,1.8072,1.8105,+0.0033,1.0018,0.1498,0.1227,+0.0271,18,6,0,0.3333
llada_moe,qwen,1.8072,1.6303,-0.1769,0.9021,0.1498,0.1129,+0.0368,18,6,0,0.3333
llada_moe,gemma,1.8072,2.0449,+0.2377,1.1315,0.1498,0.1624,-0.0126,18,2,0,0.1111
llada_moe,olmo,1.8072,1.6291,-0.1782,0.9014,0.1498,0.1042,+0.0456,18,5,0,0.2778
dream,llama_instruct,1.9480,1.6910,-0.2570,0.8681,0.1376,0.1097,+0.0278,18,6,1,0.3333
dream,mistral,1.9480,1.8105,-0.1374,0.9295,0.1376,0.1227,+0.0149,18,10,1,0.5556
dream,qwen,1.9480,1.6303,-0.3177,0.8369,0.1376,0.1129,+0.0246,18,9,1,0.5000
dream,gemma,1.9480,2.0449,+0.0969,1.0498,0.1376,0.1624,-0.0248,18,7,1,0.3889
dream,olmo,1.9480,1.6291,-0.3189,0.8363,0.1376,0.1042,+0.0333,18,6,1,0.3333
