dlm,ar,alpha,gamma,gap_g_minus_a,ratio_g_over_a,delta_perp_dlm,delta_perp_ar,delta_perp_gap,n_subtests,dlm_wins,ties,win_rate
llada_instruct,llama_instruct,5.2460,5.4123,+0.1663,1.0317,0.4582,0.4721,-0.0139,20,6,1,0.3000
llada_instruct,mistral,5.2460,5.6255,+0.3795,1.0723,0.4582,0.4853,-0.0271,20,8,1,0.4000
llada_instruct,qwen,5.2460,5.0321,-0.2139,0.9592,0.4582,0.4401,+0.0181,20,5,0,0.2500
llada_instruct,gemma,5.2460,5.3921,+0.1461,1.0278,0.4582,0.4673,-0.0091,20,9,0,0.4500
llada_instruct,olmo,5.2460,4.9037,-0.3423,0.9348,0.4582,0.4363,+0.0218,20,6,0,0.3000
llada_moe,llama_instruct,5.2568,5.4123,+0.1556,1.0296,0.4597,0.4721,-0.0123,20,6,0,0.3000
llada_moe,mistral,5.2568,5.6255,+0.3687,1.0701,0.4597,0.4853,-0.0256,20,12,0,0.6000
llada_moe,qwen,5.2568,5.0321,-0.2247,0.9573,0.4597,0.4401,+0.0196,20,1,1,0.0500
llada_moe,gemma,5.2568,5.3921,+0.1353,1.0257,0.4597,0.4673,-0.0076,20,11,0,0.5500
llada_moe,olmo,5.2568,4.9037,-0.3531,0.9328,0.4597,0.4363,+0.0234,20,3,1,0.1500
dream,llama_instruct,5.2262,5.4123,+0.1861,1.0356,0.4554,0.4721,-0.0166,20,9,0,0.4500
dream,mistral,5.2262,5.6255,+0.3992,1.0764,0.4554,0.4853,-0.0299,20,13,0,0.6500
dream,qwen,5.2262,5.0321,-0.1941,0.9629,0.4554,0.4401,+0.0153,20,6,0,0.3000
dream,gemma,5.2262,5.3921,+0.1658,1.0317,0.4554,0.4673,-0.0119,20,11,0,0.5500
dream,olmo,5.2262,4.9037,-0.3225,0.9383,0.4554,0.4363,+0.0191,20,8,0,0.4000
